what,kind,bundleId,bundleVersion,description,time
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391100171970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100173483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100173653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100173654
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391100173664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100175190
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391100175222
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1391100175653
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1391100185348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100192779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100193810
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100193812
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391100193824
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100207814
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391100207838
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100209392
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391100209406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100236279
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391100236298
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100245929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100248245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100248248
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391100248265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100248268
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391100248288
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100248290
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391100248301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100258877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1391100258906
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1391100259032
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391100259200
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1391100262057
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100266255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100270190
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.CommonXmlEditor",1391100270325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100272086
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100273658
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1391100273660
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1391100273664
