what,kind,bundleId,bundleVersion,description,time
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392204268400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204285847
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392204285872
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392204291241
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204304921
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392204308055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204318235
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392204318252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1392204319349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204319362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204339627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1392204375998
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204378021
activated,view,com.android.ide.eclipse.ddms,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ddms.views.LogCatView",1392204383663
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392204448149
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1392204448170
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392204448863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1392204450562
